iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,1380,197746,cells,1017293,cts,6,iterations,residual,=,4.314494,,,
,1390,199217,cells,1025338,contacts,13.839616,hour(s),or,830.376953,minute(s),or,49822.617188,second(s)
,1390,199392,cells,1000028,cts,15,iterations,residual,=,4.559187,,,
,1390,199392,cells,1019844,cts,9,iterations,residual,=,4.605752,,,
,1390,199392,cells,1022800,cts,7,iterations,residual,=,4.579189,,,
,1390,199392,cells,1024138,cts,7,iterations,residual,=,4.060539,,,
,1390,199392,cells,1024952,cts,7,iterations,residual,=,3.738905,,,
,1390,199392,cells,1025476,cts,6,iterations,residual,=,4.873139,,,
,1390,199392,cells,1025858,cts,6,iterations,residual,=,4.434455,,,
,,,,,,,,,,,,,
,1400,200861,cells,1033892,contacts,14.181089,hour(s),or,850.865365,minute(s),or,51051.921875,second(s)
,1400,201037,cells,1008549,cts,15,iterations,residual,=,4.614865,,,
,1400,201037,cells,1028370,cts,9,iterations,residual,=,4.271256,,,
,1400,201037,cells,1031385,cts,7,iterations,residual,=,4.571307,,,
,1400,201037,cells,1032777,cts,7,iterations,residual,=,4.042057,,,
,1400,201037,cells,1033555,cts,7,iterations,residual,=,3.668138,,,
,1400,201037,cells,1034089,cts,6,iterations,residual,=,4.351475,,,
,1400,201037,cells,1034470,cts,6,iterations,residual,=,4.592412,,,
,,,,,,,,,,,,,
,1410,202489,cells,1042509,contacts,14.468965,hour(s),or,868.137891,minute(s),or,52088.273438,second(s)
,1410,202644,cells,1017382,cts,15,iterations,residual,=,4.902603,,,
,1410,202644,cells,1037135,cts,9,iterations,residual,=,4.649685,,,
,1410,202644,cells,1040139,cts,7,iterations,residual,=,4.415534,,,
,1410,202644,cells,1041562,cts,7,iterations,residual,=,4.083161,,,
,1410,202644,cells,1042371,cts,6,iterations,residual,=,4.719421,,,
,1410,202644,cells,1042901,cts,6,iterations,residual,=,4.607923,,,
,1410,202644,cells,1043255,cts,6,iterations,residual,=,4.820685,,,
,1420,204165,cells,1051320,contacts,14.70116,hour(s),or,882.069596,minute(s),or,52924.175781,second(s)
,1420,204306,cells,1025703,cts,15,iterations,residual,=,4.68099,,,
,1420,204306,cells,1045737,cts,9,iterations,residual,=,4.645561,,,
,1420,204306,cells,1048772,cts,7,iterations,residual,=,4.57418,,,
,1420,204306,cells,1050186,cts,7,iterations,residual,=,4.153813,,,
,1420,204306,cells,1051045,cts,6,iterations,residual,=,4.636785,,,
,1420,204306,cells,1051609,cts,6,iterations,residual,=,4.611564,,,
,1420,204306,cells,1051903,cts,6,iterations,residual,=,4.430633,,,
,1430,205815,cells,1059862,contacts,15.011594,hour(s),or,900.695638,minute(s),or,54041.738281,second(s)
,1430,205989,cells,1034009,cts,15,iterations,residual,=,4.699933,,,
,1430,205989,cells,1054267,cts,9,iterations,residual,=,4.716074,,,
,1430,205989,cells,1057308,cts,7,iterations,residual,=,4.394579,,,
,1430,205989,cells,1058698,cts,7,iterations,residual,=,4.128073,,,
,1430,205989,cells,1059521,cts,6,iterations,residual,=,4.930613,,,
,1430,205989,cells,1060080,cts,6,iterations,residual,=,4.689294,,,
,1430,205989,cells,1060446,cts,6,iterations,residual,=,4.68293,,,
,,,,,,,,,,,,,
,1440,207488,cells,1068491,contacts,15.25474,hour(s),or,915.28444,minute(s),or,54917.066406,second(s)
,1440,207656,cells,1042484,cts,15,iterations,residual,=,4.487144,,,
,1440,207656,cells,1063004,cts,9,iterations,residual,=,4.706125,,,
,1440,207656,cells,1066041,cts,7,iterations,residual,=,4.570311,,,
,1440,207656,cells,1067441,cts,7,iterations,residual,=,4.156635,,,
,1440,207656,cells,1068233,cts,6,iterations,residual,=,5.071579,,,
,1440,207656,cells,1068824,cts,6,iterations,residual,=,4.719756,,,
,1440,207656,cells,1069141,cts,6,iterations,residual,=,4.564822,,,
,1450,209133,cells,1077024,contacts,15.527561,hour(s),or,931.653711,minute(s),or,55899.222656,second(s)
,1450,209295,cells,1051304,cts,16,iterations,residual,=,3.912835,,,
,1450,209295,cells,1071628,cts,9,iterations,residual,=,4.582088,,,
,1450,209295,cells,1074718,cts,7,iterations,residual,=,4.836071,,,
,1450,209295,cells,1076136,cts,6,iterations,residual,=,5.153793,,,
,1450,209295,cells,1077004,cts,6,iterations,residual,=,4.711491,,,
,1450,209295,cells,1077547,cts,6,iterations,residual,=,4.757396,,,
,1450,209295,cells,1077865,cts,6,iterations,residual,=,4.531388,,,
,1460,210803,cells,1085959,contacts,15.860802,hour(s),or,951.648112,minute(s),or,57098.886719,second(s)
,1460,210963,cells,1059741,cts,15,iterations,residual,=,4.69942,,,
,1460,210963,cells,1080376,cts,9,iterations,residual,=,4.354226,,,
,1460,210963,cells,1083455,cts,7,iterations,residual,=,4.79832,,,
,1460,210963,cells,1084887,cts,6,iterations,residual,=,5.139255,,,
,1460,210963,cells,1085758,cts,6,iterations,residual,=,4.973701,,,
,1460,210963,cells,1086302,cts,6,iterations,residual,=,4.82097,,,
,1460,210963,cells,1086648,cts,6,iterations,residual,=,4.62154,,,
,1470,212504,cells,1094809,contacts,16.301346,hour(s),or,978.080729,minute(s),or,58684.84375,second(s)
,1470,212668,cells,1068354,cts,15,iterations,residual,=,4.157293,,,
,1470,212668,cells,1088965,cts,9,iterations,residual,=,4.732507,,,
,1470,212668,cells,1092140,cts,7,iterations,residual,=,4.787725,,,
,1470,212668,cells,1093545,cts,7,iterations,residual,=,4.440731,,,
,1470,212668,cells,1094371,cts,6,iterations,residual,=,4.951892,,,
,1470,212668,cells,1094966,cts,6,iterations,residual,=,4.746529,,,
,1470,212668,cells,1095313,cts,6,iterations,residual,=,4.785915,,,
,1480,214148,cells,1103387,contacts,16.553725,hour(s),or,993.223503,minute(s),or,59593.410156,second(s)
,1480,214303,cells,1076836,cts,15,iterations,residual,=,4.625708,,,
,1480,214303,cells,1097703,cts,9,iterations,residual,=,4.613523,,,
,1480,214303,cells,1100908,cts,7,iterations,residual,=,4.46558,,,
,1480,214303,cells,1102378,cts,6,iterations,residual,=,5.21774,,,
,1480,214303,cells,1103222,cts,6,iterations,residual,=,5.019674,,,
,1480,214303,cells,1103802,cts,6,iterations,residual,=,4.683757,,,
,1480,214303,cells,1104164,cts,6,iterations,residual,=,4.732498,,,
,1490,215782,cells,1112050,contacts,16.848975,hour(s),or,1010.938477,minute(s),or,60656.308594,second(s)
,1490,215942,cells,1085447,cts,15,iterations,residual,=,5.20138,,,
,1490,215942,cells,1106265,cts,9,iterations,residual,=,4.983683,,,
,1490,215942,cells,1109450,cts,7,iterations,residual,=,5.03362,,,
,1490,215942,cells,1110878,cts,7,iterations,residual,=,4.773185,,,
,1490,215942,cells,1111739,cts,6,iterations,residual,=,5.087755,,,
,1490,215942,cells,1112306,cts,6,iterations,residual,=,5.110021,,,
,1490,215942,cells,1112658,cts,6,iterations,residual,=,4.942715,,,
,1500,217438,cells,1120586,contacts,17.22075,hour(s),or,1033.244987,minute(s),or,61994.699219,second(s)
,1500,217602,cells,1093726,cts,15,iterations,residual,=,5.32156,,,
,1500,217602,cells,1114812,cts,9,iterations,residual,=,5.103512,,,
,1500,217602,cells,1118017,cts,7,iterations,residual,=,4.911625,,,
,1500,217602,cells,1119505,cts,7,iterations,residual,=,4.089581,,,
,1500,217602,cells,1120389,cts,7,iterations,residual,=,4.09625,,,
,1500,217602,cells,1120950,cts,6,iterations,residual,=,4.68076,,,
,1500,217602,cells,1121317,cts,6,iterations,residual,=,4.744798,,,
,1510,219113,cells,1129596,contacts,17.59315,hour(s),or,1055.588932,minute(s),or,63335.335938,second(s)
,1510,219283,cells,1102503,cts,16,iterations,residual,=,4.011073,,,
,1510,219283,cells,1123552,cts,9,iterations,residual,=,4.848565,,,
,1510,219283,cells,1126794,cts,7,iterations,residual,=,4.73946,,,
,1510,219283,cells,1128265,cts,7,iterations,residual,=,4.309802,,,
,1510,219283,cells,1129146,cts,6,iterations,residual,=,5.340008,,,
,1510,219283,cells,1129770,cts,6,iterations,residual,=,4.942724,,,
,1510,219283,cells,1130110,cts,6,iterations,residual,=,4.976394,,,
,1520,220769,cells,1138362,contacts,18.052128,hour(s),or,1083.127669,minute(s),or,64987.660156,second(s)
,1520,220947,cells,1110784,cts,15,iterations,residual,=,4.930301,,,
,1520,220947,cells,1132191,cts,9,iterations,residual,=,5.040305,,,
,1520,220947,cells,1135538,cts,7,iterations,residual,=,5.061982,,,
,1520,220947,cells,1137036,cts,7,iterations,residual,=,4.472773,,,
,1520,220947,cells,1137970,cts,7,iterations,residual,=,4.006191,,,
,1520,220947,cells,1138548,cts,6,iterations,residual,=,4.855392,,,
,1520,220947,cells,1138897,cts,6,iterations,residual,=,4.872201,,,
,1530,222418,cells,1146983,contacts,18.39337,hour(s),or,1103.602214,minute(s),or,66216.132812,second(s)
,1530,222583,cells,1119547,cts,16,iterations,residual,=,4.312668,,,
,1530,222583,cells,1141052,cts,9,iterations,residual,=,4.932808,,,
,1530,222583,cells,1144336,cts,7,iterations,residual,=,5.170718,,,
,1530,222583,cells,1145806,cts,6,iterations,residual,=,5.421298,,,
,1530,222583,cells,1146754,cts,6,iterations,residual,=,5.428355,,,
,1530,222583,cells,1147328,cts,6,iterations,residual,=,5.405989,,,
,1530,222583,cells,1147680,cts,6,iterations,residual,=,5.207245,,,
,1540,224080,cells,1155559,contacts,18.758185,hour(s),or,1125.491146,minute(s),or,67529.46875,second(s)
,1540,224262,cells,1127855,cts,16,iterations,residual,=,4.088604,,,
,1540,224262,cells,1149546,cts,9,iterations,residual,=,5.00301,,,
,1540,224262,cells,1152814,cts,7,iterations,residual,=,5.299529,,,
,1540,224262,cells,1154319,cts,6,iterations,residual,=,5.578772,,,
,1540,224262,cells,1155219,cts,6,iterations,residual,=,5.604586,,,
,1540,224262,cells,1155801,cts,6,iterations,residual,=,5.450849,,,
,1540,224262,cells,1156132,cts,6,iterations,residual,=,5.341283,,,
,1550,225718,cells,1164283,contacts,19.09231,hour(s),or,1145.538542,minute(s),or,68732.3125,second(s)
,1550,225885,cells,1136511,cts,16,iterations,residual,=,4.139911,,,
,1550,225885,cells,1158232,cts,9,iterations,residual,=,4.846812,,,
,1550,225885,cells,1161520,cts,7,iterations,residual,=,5.049286,,,
,1550,225885,cells,1163060,cts,7,iterations,residual,=,4.62974,,,
,1550,225885,cells,1163991,cts,7,iterations,residual,=,4.127601,,,
,1550,225885,cells,1164553,cts,6,iterations,residual,=,4.607204,,,
,1550,225885,cells,1164914,cts,6,iterations,residual,=,4.52836,,,
,1560,227444,cells,1173329,contacts,19.434597,hour(s),or,1166.075781,minute(s),or,69964.546875,second(s)
,1560,227611,cells,1145218,cts,16,iterations,residual,=,4.153353,,,
,1560,227611,cells,1167119,cts,9,iterations,residual,=,4.516816,,,
,1560,227611,cells,1170419,cts,7,iterations,residual,=,4.879409,,,
,1560,227611,cells,1171960,cts,7,iterations,residual,=,4.50363,,,
,1560,227611,cells,1172895,cts,7,iterations,residual,=,4.112498,,,
,1560,227611,cells,1173480,cts,6,iterations,residual,=,4.606786,,,
,1560,227611,cells,1173859,cts,6,iterations,residual,=,5.565401,,,
,1570,229142,cells,1182187,contacts,19.823175,hour(s),or,1189.390495,minute(s),or,71363.429688,second(s)
,1570,229307,cells,1153740,cts,15,iterations,residual,=,5.148272,,,
,1570,229307,cells,1176063,cts,9,iterations,residual,=,5.289807,,,
,1570,229307,cells,1179478,cts,7,iterations,residual,=,5.120233,,,
,1570,229307,cells,1181014,cts,7,iterations,residual,=,4.516057,,,
,1570,229307,cells,1181954,cts,6,iterations,residual,=,5.335773,,,
,1570,229307,cells,1182559,cts,6,iterations,residual,=,5.177999,,,
,1570,229307,cells,1182902,cts,6,iterations,residual,=,5.141032,,,
,1580,230799,cells,1191134,contacts,20.219448,hour(s),or,1213.166927,minute(s),or,72790.015625,second(s)
,1580,230956,cells,1162604,cts,15,iterations,residual,=,5.36673,,,
,1580,230956,cells,1184872,cts,9,iterations,residual,=,5.191099,,,
,1580,230956,cells,1188259,cts,7,iterations,residual,=,5.050873,,,
,1580,230956,cells,1189862,cts,7,iterations,residual,=,4.29846,,,
,1580,230956,cells,1190803,cts,7,iterations,residual,=,4.0613,,,
,1580,230956,cells,1191393,cts,6,iterations,residual,=,5.378523,,,
,1580,230956,cells,1191774,cts,6,iterations,residual,=,5.041503,,,
,1590,232482,cells,1199725,contacts,20.648301,hour(s),or,1238.898047,minute(s),or,74333.882812,second(s)
,1590,232652,cells,1170835,cts,15,iterations,residual,=,5.453264,,,
,1590,232652,cells,1193344,cts,9,iterations,residual,=,5.45917,,,
,1590,232652,cells,1196792,cts,7,iterations,residual,=,4.878374,,,
,1590,232652,cells,1198355,cts,6,iterations,residual,=,5.649112,,,
,1590,232652,cells,1199317,cts,6,iterations,residual,=,5.706802,,,
,1590,232652,cells,1199931,cts,6,iterations,residual,=,5.541398,,,
,1590,232652,cells,1200310,cts,6,iterations,residual,=,5.201328,,,
,1600,234165,cells,1208387,contacts,21.118233,hour(s),or,1267.09401,minute(s),or,76025.640625,second(s)
,1600,234338,cells,1179435,cts,16,iterations,residual,=,4.304164,,,
,1600,234338,cells,1202007,cts,9,iterations,residual,=,5.115742,,,
,1600,234338,cells,1205494,cts,7,iterations,residual,=,4.959268,,,
,1600,234338,cells,1207093,cts,7,iterations,residual,=,4.620274,,,
,1600,234338,cells,1208092,cts,6,iterations,residual,=,5.378543,,,
,1600,234338,cells,1208715,cts,6,iterations,residual,=,5.17932,,,
,1600,234338,cells,1209101,cts,6,iterations,residual,=,5.344258,,,
,1610,235827,cells,1217213,contacts,21.443825,hour(s),or,1286.629557,minute(s),or,77197.773438,second(s)
,1610,236005,cells,1187791,cts,15,iterations,residual,=,5.238937,,,
,1610,236005,cells,1210698,cts,9,iterations,residual,=,5.313291,,,
,1610,236005,cells,1214191,cts,7,iterations,residual,=,5.155124,,,
,1610,236005,cells,1215838,cts,7,iterations,residual,=,4.530293,,,
,1610,236005,cells,1216804,cts,6,iterations,residual,=,5.858163,,,
,1610,236005,cells,1217444,cts,6,iterations,residual,=,5.078342,,,
,1610,236005,cells,1217797,cts,6,iterations,residual,=,5.35954,,,
,1620,237568,cells,1225897,contacts,21.829218,hour(s),or,1309.752995,minute(s),or,78585.179688,second(s)
,1620,237755,cells,1196437,cts,15,iterations,residual,=,5.401409,,,
,1620,237755,cells,1219426,cts,9,iterations,residual,=,5.316458,,,
,1620,237755,cells,1222954,cts,7,iterations,residual,=,5.182833,,,
,1620,237755,cells,1224572,cts,7,iterations,residual,=,4.687641,,,
,1620,237755,cells,1225575,cts,7,iterations,residual,=,4.351179,,,
,1620,237755,cells,1226168,cts,6,iterations,residual,=,5.888015,,,
,1620,237755,cells,1226562,cts,6,iterations,residual,=,5.050752,,,
,1630,239247,cells,1234992,contacts,22.274868,hour(s),or,1336.492057,minute(s),or,80189.523438,second(s)
,1630,239428,cells,1205316,cts,15,iterations,residual,=,5.724546,,,
,1630,239428,cells,1228337,cts,9,iterations,residual,=,5.115844,,,
,1630,239428,cells,1231955,cts,7,iterations,residual,=,5.222026,,,
,1630,239428,cells,1233537,cts,7,iterations,residual,=,4.584426,,,
,1630,239428,cells,1234539,cts,6,iterations,residual,=,5.897612,,,
,1630,239428,cells,1235190,cts,6,iterations,residual,=,5.569609,,,
,1630,239428,cells,1235569,cts,6,iterations,residual,=,5.436685,,,
,1640,240980,cells,1244045,contacts,22.793449,hour(s),or,1367.606901,minute(s),or,82056.414062,second(s)
,1640,241156,cells,1214189,cts,15,iterations,residual,=,5.878296,,,
,1640,241156,cells,1237442,cts,9,iterations,residual,=,5.205385,,,
,1640,241156,cells,1241049,cts,7,iterations,residual,=,5.477027,,,
,1640,241156,cells,1242668,cts,7,iterations,residual,=,4.908216,,,
,1640,241156,cells,1243595,cts,7,iterations,residual,=,4.42596,,,
,1640,241156,cells,1244237,cts,6,iterations,residual,=,5.269551,,,
,1640,241156,cells,1244616,cts,6,iterations,residual,=,5.071582,,,
,1650,242710,cells,1252759,contacts,23.189836,hour(s),or,1391.390104,minute(s),or,83483.40625,second(s)
,1650,242867,cells,1223061,cts,16,iterations,residual,=,4.935662,,,
,1650,242867,cells,1246193,cts,9,iterations,residual,=,5.293126,,,
,1650,242867,cells,1249869,cts,7,iterations,residual,=,5.287909,,,
,1650,242867,cells,1251474,cts,7,iterations,residual,=,4.766988,,,
,1650,242867,cells,1252467,cts,6,iterations,residual,=,5.884343,,,
,1650,242867,cells,1253094,cts,6,iterations,residual,=,5.526456,,,
,1650,242867,cells,1253498,cts,6,iterations,residual,=,5.413173,,,
,1660,244401,cells,1262074,contacts,23.686491,hour(s),or,1421.189453,minute(s),or,85271.367188,second(s)
,1660,244560,cells,1231819,cts,15,iterations,residual,=,5.870097,,,
,1660,244560,cells,1255243,cts,9,iterations,residual,=,5.345755,,,
,1660,244560,cells,1258916,cts,7,iterations,residual,=,5.182559,,,
,1660,244560,cells,1260574,cts,7,iterations,residual,=,4.688796,,,
,1660,244560,cells,1261496,cts,6,iterations,residual,=,5.828034,,,
,1660,244560,cells,1262164,cts,6,iterations,residual,=,5.36991,,,
,1660,244560,cells,1262572,cts,6,iterations,residual,=,5.267544,,,
,1670,246018,cells,1270848,contacts,24.075549,hour(s),or,1444.532943,minute(s),or,86671.976562,second(s)
,1670,246163,cells,1240252,cts,15,iterations,residual,=,5.882458,,,
,1670,246163,cells,1263956,cts,9,iterations,residual,=,5.284845,,,
,1670,246163,cells,1267589,cts,7,iterations,residual,=,5.254615,,,
,1670,246163,cells,1269307,cts,6,iterations,residual,=,6.090603,,,
,1670,246163,cells,1270329,cts,6,iterations,residual,=,5.57871,,,
,1670,246163,cells,1270974,cts,6,iterations,residual,=,5.414784,,,
,1670,246163,cells,1271360,cts,6,iterations,residual,=,5.29683,,,
,1680,247701,cells,1279501,contacts,24.574408,hour(s),or,1474.464453,minute(s),or,88467.867188,second(s)
,1680,247881,cells,1248694,cts,15,iterations,residual,=,6.132578,,,
,1680,247881,cells,1272675,cts,9,iterations,residual,=,5.606067,,,
,1680,247881,cells,1276304,cts,7,iterations,residual,=,5.515689,,,
,1680,247881,cells,1278009,cts,7,iterations,residual,=,4.92241,,,
,1680,247881,cells,1279035,cts,6,iterations,residual,=,5.685987,,,
,1680,247881,cells,1279702,cts,6,iterations,residual,=,5.317217,,,
,1680,247881,cells,1280098,cts,6,iterations,residual,=,5.387141,,,
,1690,249371,cells,1288376,contacts,24.981667,hour(s),or,1498.9,minute(s),or,89934,second(s)
,1690,249525,cells,1257576,cts,15,iterations,residual,=,5.570567,,,
,1690,249525,cells,1281406,cts,9,iterations,residual,=,5.489367,,,
,1690,249525,cells,1285132,cts,7,iterations,residual,=,5.520367,,,
,1690,249525,cells,1286818,cts,7,iterations,residual,=,4.922705,,,
,1690,249525,cells,1287895,cts,7,iterations,residual,=,4.658748,,,
,1690,249525,cells,1288548,cts,6,iterations,residual,=,5.480299,,,
,1690,249525,cells,1288961,cts,6,iterations,residual,=,5.881142,,,
,1700,251077,cells,1297352,contacts,25.447854,hour(s),or,1526.871224,minute(s),or,91612.273438,second(s)
,1700,251251,cells,1266328,cts,15,iterations,residual,=,5.009055,,,
,1700,251251,cells,1290374,cts,9,iterations,residual,=,5.272169,,,
,1700,251251,cells,1294168,cts,7,iterations,residual,=,5.677662,,,
,1700,251251,cells,1295831,cts,6,iterations,residual,=,6.066953,,,
,1700,251251,cells,1296945,cts,6,iterations,residual,=,5.85815,,,
,1700,251251,cells,1297604,cts,6,iterations,residual,=,5.875435,,,
,1700,251251,cells,1297995,cts,6,iterations,residual,=,5.484883,,,
,1710,252760,cells,1306167,contacts,25.862895,hour(s),or,1551.773698,minute(s),or,93106.421875,second(s)
,1710,252912,cells,1274864,cts,16,iterations,residual,=,4.791139,,,
,1710,252912,cells,1299129,cts,9,iterations,residual,=,5.326656,,,
,1710,252912,cells,1302914,cts,7,iterations,residual,=,5.773201,,,
,1710,252912,cells,1304649,cts,7,iterations,residual,=,5.102002,,,
,1710,252912,cells,1305708,cts,7,iterations,residual,=,4.843522,,,
,1710,252912,cells,1306327,cts,6,iterations,residual,=,6.181873,,,
,1710,252912,cells,1306737,cts,6,iterations,residual,=,5.628881,,,
,1720,254390,cells,1315056,contacts,26.371615,hour(s),or,1582.296875,minute(s),or,94937.8125,second(s)
,1720,254577,cells,1283823,cts,16,iterations,residual,=,4.780209,,,
,1720,254577,cells,1308215,cts,9,iterations,residual,=,5.438666,,,
,1720,254577,cells,1311992,cts,7,iterations,residual,=,6.027514,,,
,1720,254577,cells,1313731,cts,7,iterations,residual,=,5.368243,,,
,1720,254577,cells,1314742,cts,7,iterations,residual,=,4.785641,,,
,1720,254577,cells,1315353,cts,6,iterations,residual,=,6.187043,,,
,1720,254577,cells,1315784,cts,6,iterations,residual,=,5.976169,,,
,1730,256120,cells,1323946,contacts,26.755611,hour(s),or,1605.336719,minute(s),or,96320.203125,second(s)
,1730,256278,cells,1292397,cts,16,iterations,residual,=,5.902065,,,
,1730,256278,cells,1316858,cts,9,iterations,residual,=,5.432857,,,
,1730,256278,cells,1320722,cts,7,iterations,residual,=,6.042836,,,
,1730,256278,cells,1322417,cts,6,iterations,residual,=,6.40186,,,
,1730,256278,cells,1323475,cts,6,iterations,residual,=,6.074019,,,
,1730,256278,cells,1324203,cts,6,iterations,residual,=,5.955935,,,
,1730,256278,cells,1324619,cts,6,iterations,residual,=,5.975764,,,
,1740,257813,cells,1332672,contacts,27.131801,hour(s),or,1627.908073,minute(s),or,97674.484375,second(s)
,1740,258017,cells,1301111,cts,16,iterations,residual,=,4.787353,,,
,1740,258017,cells,1325622,cts,9,iterations,residual,=,6.054993,,,
,1740,258017,cells,1329398,cts,7,iterations,residual,=,5.86867,,,
,1740,258017,cells,1331145,cts,7,iterations,residual,=,5.083866,,,
,1740,258017,cells,1332163,cts,7,iterations,residual,=,4.700598,,,
,1740,258017,cells,1332816,cts,6,iterations,residual,=,5.664294,,,
,1740,258017,cells,1333234,cts,6,iterations,residual,=,6.220228,,,
,1750,259545,cells,1341654,contacts,27.607583,hour(s),or,1656.454948,minute(s),or,99387.296875,second(s)
,1750,259705,cells,1309751,cts,16,iterations,residual,=,5.894936,,,
,1750,259705,cells,1334601,cts,9,iterations,residual,=,5.357155,,,
,1750,259705,cells,1338338,cts,7,iterations,residual,=,5.65999,,,
,1750,259705,cells,1340104,cts,7,iterations,residual,=,5.34535,,,
,1750,259705,cells,1341164,cts,6,iterations,residual,=,5.676968,,,
,1750,259705,cells,1341858,cts,6,iterations,residual,=,5.685133,,,
,1750,259705,cells,1342257,cts,6,iterations,residual,=,5.926742,,,
,1760,261243,cells,1350602,contacts,28.05765,hour(s),or,1683.458984,minute(s),or,101007.539062,second(s)
,1760,261426,cells,1318813,cts,15,iterations,residual,=,6.145155,,,
,1760,261426,cells,1343571,cts,9,iterations,residual,=,5.561731,,,
,1760,261426,cells,1347432,cts,7,iterations,residual,=,5.495854,,,
,1760,261426,cells,1349160,cts,6,iterations,residual,=,6.476529,,,
,1760,261426,cells,1350276,cts,6,iterations,residual,=,6.389606,,,
,1760,261426,cells,1350944,cts,6,iterations,residual,=,6.244,,,
,1760,261426,cells,1351355,cts,6,iterations,residual,=,6.264542,,,
,1770,262977,cells,1359642,contacts,28.629887,hour(s),or,1717.793229,minute(s),or,103067.59375,second(s)
,1770,263145,cells,1327292,cts,15,iterations,residual,=,5.274227,,,
,1770,263145,cells,1352606,cts,9,iterations,residual,=,5.977148,,,
,1770,263145,cells,1356369,cts,7,iterations,residual,=,5.709569,,,
,1770,263145,cells,1358196,cts,7,iterations,residual,=,5.171184,,,
,1770,263145,cells,1359248,cts,7,iterations,residual,=,4.699383,,,
,1770,263145,cells,1359876,cts,6,iterations,residual,=,5.637957,,,
,1770,263145,cells,1360328,cts,6,iterations,residual,=,5.756517,,,
,1780,264655,cells,1368850,contacts,29.061049,hour(s),or,1743.663021,minute(s),or,104619.78125,second(s)
,1780,264833,cells,1336427,cts,15,iterations,residual,=,5.752168,,,
,1780,264833,cells,1361585,cts,9,iterations,residual,=,5.766765,,,
,1780,264833,cells,1365409,cts,7,iterations,residual,=,5.766133,,,
,1780,264833,cells,1367313,cts,6,iterations,residual,=,6.288989,,,
,1780,264833,cells,1368371,cts,6,iterations,residual,=,6.354999,,,
,1780,264833,cells,1369020,cts,6,iterations,residual,=,6.102737,,,
,1780,264833,cells,1369450,cts,6,iterations,residual,=,5.919426,,,
,1790,266306,cells,1377699,contacts,29.694307,hour(s),or,1781.658464,minute(s),or,106899.507812,second(s)
,1790,266460,cells,1344732,cts,16,iterations,residual,=,5.387545,,,
,1790,266460,cells,1370323,cts,9,iterations,residual,=,5.354252,,,
,1790,266460,cells,1374200,cts,7,iterations,residual,=,5.522182,,,
,1790,266460,cells,1375964,cts,7,iterations,residual,=,5.078922,,,
,1790,266460,cells,1377081,cts,7,iterations,residual,=,4.9207,,,
,1790,266460,cells,1377727,cts,6,iterations,residual,=,5.724316,,,
,1790,266460,cells,1378151,cts,6,iterations,residual,=,5.978336,,,
,1800,267905,cells,1386454,contacts,30.075047,hour(s),or,1804.502865,minute(s),or,108270.171875,second(s)
,1800,268066,cells,1353609,cts,15,iterations,residual,=,6.087803,,,
,1800,268066,cells,1379073,cts,9,iterations,residual,=,5.938755,,,
,1800,268066,cells,1382973,cts,7,iterations,residual,=,5.849525,,,
,1800,268066,cells,1384774,cts,7,iterations,residual,=,5.257617,,,
,1800,268066,cells,1385861,cts,7,iterations,residual,=,4.95313,,,
,1800,268066,cells,1386528,cts,6,iterations,residual,=,6.643136,,,
,1800,268066,cells,1386938,cts,6,iterations,residual,=,6.274426,,,
,1810,269506,cells,1395029,contacts,30.799028,hour(s),or,1847.941667,minute(s),or,110876.5,second(s)
,1810,269669,cells,1362196,cts,15,iterations,residual,=,5.64011,,,
,1810,269669,cells,1387696,cts,9,iterations,residual,=,5.983712,,,
,1810,269669,cells,1391591,cts,7,iterations,residual,=,5.676473,,,
,1810,269669,cells,1393400,cts,7,iterations,residual,=,5.35044,,,
,1810,269669,cells,1394476,cts,6,iterations,residual,=,6.500525,,,
,1810,269669,cells,1395193,cts,6,iterations,residual,=,6.41306,,,
,1810,269669,cells,1395578,cts,6,iterations,residual,=,6.460058,,,
,1820,271122,cells,1403813,contacts,31.311698,hour(s),or,1878.701953,minute(s),or,112722.117188,second(s)
,1820,271268,cells,1370682,cts,16,iterations,residual,=,5.438681,,,
,1820,271268,cells,1396428,cts,9,iterations,residual,=,5.848882,,,
,1820,271268,cells,1400344,cts,7,iterations,residual,=,5.764534,,,
,1820,271268,cells,1402195,cts,6,iterations,residual,=,6.627162,,,
,1820,271268,cells,1403309,cts,6,iterations,residual,=,6.373668,,,
,1820,271268,cells,1403962,cts,6,iterations,residual,=,6.546969,,,
,1820,271268,cells,1404373,cts,6,iterations,residual,=,6.436133,,,
,,,,,,,,,,,,,
