iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,250,7500,cells,28590,cts,4,iterations,residual,=,0.136366,,,
,260,8623,cells,33267,contacts,0.040539,hour(s),or,2.432347,minute(s),or,145.940796,second(s)
,260,8753,cells,31795,cts,13,iterations,residual,=,0.186046,,,
,260,8753,cells,33308,cts,8,iterations,residual,=,0.172313,,,
,260,8753,cells,33524,cts,5,iterations,residual,=,0.212577,,,
,260,8753,cells,33610,cts,5,iterations,residual,=,0.16723,,,
,260,8753,cells,33678,cts,4,iterations,residual,=,0.190208,,,
,260,8753,cells,33725,cts,4,iterations,residual,=,0.205338,,,
,260,8753,cells,33755,cts,4,iterations,residual,=,0.148048,,,
,,,,,,,,,,,,,
,270,10001,cells,38939,contacts,0.046841,hour(s),or,2.810476,minute(s),or,168.62854,second(s)
,270,10134,cells,37405,cts,14,iterations,residual,=,0.191,,,
,270,10134,cells,39081,cts,8,iterations,residual,=,0.20812,,,
,270,10134,cells,39327,cts,6,iterations,residual,=,0.200793,,,
,270,10134,cells,39433,cts,5,iterations,residual,=,0.208204,,,
,270,10134,cells,39495,cts,4,iterations,residual,=,0.23338,,,
,270,10134,cells,39533,cts,4,iterations,residual,=,0.192338,,,
,270,10134,cells,39561,cts,4,iterations,residual,=,0.192736,,,
,280,11478,cells,45499,contacts,0.05372,hour(s),or,3.223181,minute(s),or,193.390869,second(s)
,280,11650,cells,43547,cts,13,iterations,residual,=,0.271668,,,
,280,11650,cells,45540,cts,8,iterations,residual,=,0.239478,,,
,280,11650,cells,45835,cts,6,iterations,residual,=,0.23131,,,
,280,11650,cells,45941,cts,5,iterations,residual,=,0.23829,,,
,280,11650,cells,46025,cts,5,iterations,residual,=,0.192545,,,
,280,11650,cells,46063,cts,4,iterations,residual,=,0.248458,,,
,280,11650,cells,46090,cts,4,iterations,residual,=,0.216465,,,
,290,13125,cells,52740,contacts,0.06144,hour(s),or,3.686407,minute(s),or,221.184402,second(s)
,290,13278,cells,50705,cts,14,iterations,residual,=,0.239411,,,
,290,13278,cells,52893,cts,8,iterations,residual,=,0.291249,,,
,290,13278,cells,53202,cts,6,iterations,residual,=,0.280032,,,
,290,13278,cells,53350,cts,5,iterations,residual,=,0.310995,,,
,290,13278,cells,53427,cts,5,iterations,residual,=,0.254014,,,
,290,13278,cells,53489,cts,4,iterations,residual,=,0.315758,,,
,290,13278,cells,53526,cts,4,iterations,residual,=,0.321997,,,
,300,14908,cells,60737,contacts,0.070575,hour(s),or,4.234522,minute(s),or,254.071304,second(s)
,300,15086,cells,58201,cts,13,iterations,residual,=,0.336914,,,
,300,15086,cells,60728,cts,8,iterations,residual,=,0.33602,,,
,300,15086,cells,61102,cts,7,iterations,residual,=,0.261344,,,
,300,15086,cells,61238,cts,5,iterations,residual,=,0.312426,,,
,300,15086,cells,61321,cts,5,iterations,residual,=,0.289167,,,
,300,15086,cells,61392,cts,4,iterations,residual,=,0.329693,,,
,300,15086,cells,61444,cts,4,iterations,residual,=,0.290808,,,
,310,16739,cells,69235,contacts,0.081256,hour(s),or,4.875365,minute(s),or,292.521881,second(s)
,310,16922,cells,66494,cts,14,iterations,residual,=,0.362186,,,
,310,16922,cells,69243,cts,8,iterations,residual,=,0.409002,,,
,310,16922,cells,69653,cts,6,iterations,residual,=,0.393679,,,
,310,16922,cells,69830,cts,6,iterations,residual,=,0.295689,,,
,310,16922,cells,69939,cts,5,iterations,residual,=,0.394209,,,
,310,16922,cells,70019,cts,5,iterations,residual,=,0.332364,,,
,310,16922,cells,70069,cts,5,iterations,residual,=,0.31125,,,
,320,18682,cells,78595,contacts,0.092845,hour(s),or,5.570715,minute(s),or,334.242889,second(s)
,320,18894,cells,75527,cts,14,iterations,residual,=,0.357617,,,
,320,18894,cells,78636,cts,9,iterations,residual,=,0.35873,,,
,320,18894,cells,79067,cts,6,iterations,residual,=,0.440507,,,
,320,18894,cells,79259,cts,5,iterations,residual,=,0.453469,,,
,320,18894,cells,79377,cts,5,iterations,residual,=,0.419532,,,
,320,18894,cells,79458,cts,5,iterations,residual,=,0.370344,,,
,320,18894,cells,79515,cts,5,iterations,residual,=,0.359405,,,
,330,20656,cells,88182,contacts,0.106177,hour(s),or,6.3706,minute(s),or,382.235992,second(s)
,330,20857,cells,84729,cts,14,iterations,residual,=,0.399756,,,
,330,20857,cells,88052,cts,8,iterations,residual,=,0.519462,,,
,330,20857,cells,88556,cts,6,iterations,residual,=,0.486098,,,
,330,20857,cells,88787,cts,6,iterations,residual,=,0.375266,,,
,330,20857,cells,88923,cts,6,iterations,residual,=,0.376761,,,
,330,20857,cells,89006,cts,5,iterations,residual,=,0.515345,,,
,330,20857,cells,89078,cts,5,iterations,residual,=,0.413871,,,
,340,22640,cells,98106,contacts,0.119923,hour(s),or,7.195406,minute(s),or,431.724365,second(s)
,340,22863,cells,94315,cts,14,iterations,residual,=,0.496673,,,
,340,22863,cells,97929,cts,9,iterations,residual,=,0.395421,,,
,340,22863,cells,98446,cts,6,iterations,residual,=,0.476667,,,
,340,22863,cells,98700,cts,5,iterations,residual,=,0.561795,,,
,340,22863,cells,98845,cts,5,iterations,residual,=,0.487019,,,
,340,22863,cells,98952,cts,5,iterations,residual,=,0.52589,,,
,340,22863,cells,99047,cts,5,iterations,residual,=,0.492323,,,
,350,24662,cells,108412,contacts,0.135946,hour(s),or,8.156785,minute(s),or,489.407104,second(s)
,350,24888,cells,104323,cts,14,iterations,residual,=,0.537722,,,
,350,24888,cells,108099,cts,8,iterations,residual,=,0.590416,,,
,350,24888,cells,108690,cts,6,iterations,residual,=,0.614702,,,
,350,24888,cells,108938,cts,6,iterations,residual,=,0.474591,,,
,350,24888,cells,109103,cts,5,iterations,residual,=,0.617621,,,
,350,24888,cells,109222,cts,5,iterations,residual,=,0.541885,,,
,350,24888,cells,109302,cts,5,iterations,residual,=,0.525948,,,
,,,,,,,,,,,,,
,360,26685,cells,118697,contacts,0.154558,hour(s),or,9.273464,minute(s),or,556.407837,second(s)
,360,26895,cells,114273,cts,14,iterations,residual,=,0.56914,,,
,360,26895,cells,118350,cts,8,iterations,residual,=,0.63696,,,
,360,26895,cells,118972,cts,6,iterations,residual,=,0.668679,,,
,360,26895,cells,119247,cts,6,iterations,residual,=,0.533999,,,
,360,26895,cells,119439,cts,6,iterations,residual,=,0.468711,,,
,360,26895,cells,119562,cts,5,iterations,residual,=,0.643885,,,
,360,26895,cells,119663,cts,5,iterations,residual,=,0.571268,,,
,370,28595,cells,129040,contacts,0.172206,hour(s),or,10.332372,minute(s),or,619.942322,second(s)
,370,28779,cells,124356,cts,14,iterations,residual,=,0.503525,,,
,370,28779,cells,128677,cts,8,iterations,residual,=,0.702696,,,
,370,28779,cells,129327,cts,7,iterations,residual,=,0.528965,,,
,370,28779,cells,129646,cts,6,iterations,residual,=,0.622369,,,
,370,28779,cells,129842,cts,6,iterations,residual,=,0.528004,,,
,370,28779,cells,129979,cts,5,iterations,residual,=,0.711987,,,
,370,28779,cells,130079,cts,5,iterations,residual,=,0.585592,,,
,380,30444,cells,139161,contacts,0.193049,hour(s),or,11.582954,minute(s),or,694.977234,second(s)
,380,30637,cells,134317,cts,14,iterations,residual,=,0.575779,,,
,380,30637,cells,138624,cts,8,iterations,residual,=,0.765544,,,
,380,30637,cells,139301,cts,7,iterations,residual,=,0.565626,,,
